Question,GamesPlayed,KFactor,RatingBefore,OppRating,ExpectedScore,ActualScore,RatingAfter,Change
647,646,22,200,200,0.5000,1,211,11
648,647,22,211,200,0.5158,0,200,-11
649,648,22,200,200,0.5000,1,211,11
650,649,22,211,288,0.3910,0,202,-9
651,650,22,202,200,0.5029,0,200,-2
652,651,22,200,200,0.5000,1,211,11
653,652,22,211,200,0.5158,0,200,-11
654,653,22,200,200,0.5000,1,211,11
655,654,22,211,200,0.5158,0,200,-11
656,655,22,200,226,0.4627,1,212,12
657,656,22,212,292,0.3869,1,225,13
658,657,22,225,200,0.5359,0,213,-12
659,658,22,213,200,0.5187,1,224,11
660,659,22,224,200,0.5345,1,234,10
661,660,22,234,200,0.5488,1,244,10
662,661,22,244,200,0.5630,1,254,10
663,662,22,254,251,0.5043,1,265,11
664,663,21,265,269,0.4942,1,276,11
665,664,21,276,303,0.4612,1,287,11
666,665,21,287,333,0.4342,0,278,-9
667,666,21,278,357,0.3882,1,291,13
668,667,21,291,200,0.6280,1,299,8
669,668,21,299,308,0.4871,1,310,11
670,669,21,310,236,0.6049,1,318,8
671,670,21,318,405,0.3773,0,310,-8
672,671,21,310,229,0.6145,1,318,8
673,672,21,318,221,0.6361,0,305,-13
674,673,21,305,351,0.4342,1,317,12
675,674,21,317,402,0.3801,0,309,-8
676,675,21,309,250,0.5841,0,297,-12
677,676,21,297,267,0.5431,1,307,10
678,677,21,307,365,0.4173,0,298,-9
679,678,21,298,391,0.3693,1,311,13
680,679,21,311,403,0.3706,0,303,-8
681,680,21,303,232,0.6008,1,311,8
682,681,21,311,378,0.4048,0,303,-8
683,682,21,303,228,0.6063,0,290,-13
684,683,21,290,247,0.5616,1,299,9
685,684,21,299,363,0.4089,0,290,-9
686,685,21,290,275,0.5216,1,300,10
687,686,21,300,358,0.4173,1,312,12
688,687,21,312,278,0.5488,1,321,9
689,688,20,321,383,0.4117,1,333,12
690,689,20,333,259,0.6049,1,341,8
691,690,20,341,366,0.4641,0,332,-9
692,691,20,332,334,0.4971,1,342,10
693,692,20,342,423,0.3855,1,354,12
694,693,20,354,340,0.5201,1,364,10
695,694,20,364,288,0.6077,1,372,8
696,695,20,372,390,0.4741,1,383,11
697,696,20,383,375,0.5115,1,393,10
698,697,20,393,418,0.4641,1,404,11
699,698,20,404,466,0.4117,1,416,12
700,699,20,416,426,0.4856,1,426,10
701,700,20,426,356,0.5994,0,414,-12
702,701,20,414,366,0.5686,0,403,-11
703,702,20,403,317,0.6213,0,391,-12
704,703,20,391,490,0.3613,1,404,13
705,704,20,404,448,0.4370,0,395,-9
706,705,20,395,399,0.4942,1,405,10
707,706,20,405,444,0.4441,0,396,-9
708,707,20,396,420,0.4655,1,407,11
709,708,20,407,357,0.5715,0,396,-11
710,709,20,396,462,0.4061,1,408,12
711,710,20,408,422,0.4799,1,418,10
712,711,20,418,346,0.6022,0,406,-12
713,712,20,406,458,0.4257,0,397,-9
714,713,19,397,320,0.6090,1,404,7
715,714,19,404,320,0.6186,1,411,7
716,715,19,411,490,0.3882,1,423,12
717,716,19,423,473,0.4285,0,415,-8
718,717,19,415,324,0.6280,1,422,7
719,718,19,422,348,0.6049,0,411,-11
720,719,19,411,372,0.5559,0,400,-11
721,720,19,400,442,0.4398,1,411,11
722,721,19,411,431,0.4712,1,421,10
723,722,19,421,446,0.4641,0,412,-9
724,723,19,412,418,0.4914,0,403,-9
725,724,19,403,315,0.6240,0,391,-12
726,725,19,391,323,0.5966,0,380,-11
727,726,19,380,350,0.5431,0,370,-10
728,727,19,370,434,0.4089,0,362,-8
729,728,19,362,338,0.5345,1,371,9
730,729,19,371,282,0.6254,1,378,7
731,730,19,378,456,0.3896,1,390,12
732,731,19,390,372,0.5259,1,399,9
733,732,19,399,387,0.5173,0,389,-10
734,733,19,389,448,0.4159,0,381,-8
735,734,19,381,478,0.3639,0,374,-7
736,735,19,374,467,0.3693,0,367,-7
737,736,19,367,359,0.5115,0,357,-10
738,737,19,357,279,0.6104,1,364,7
739,738,18,364,393,0.4584,1,374,10
740,739,18,374,472,0.3626,1,385,11
741,740,18,385,376,0.5129,0,376,-9
742,741,18,376,346,0.5431,1,384,8
743,742,18,384,290,0.6321,1,391,7
744,743,18,391,475,0.3814,0,384,-7
745,744,18,384,466,0.3841,0,377,-7
746,745,18,377,301,0.6077,1,384,7
747,746,18,384,320,0.5911,1,391,7
748,747,18,391,432,0.4413,1,401,10
749,748,18,401,339,0.5883,1,408,7
750,749,18,408,332,0.6077,0,397,-11
751,750,18,397,358,0.5559,0,387,-10
752,751,18,387,293,0.6321,0,376,-11
753,752,18,376,395,0.4727,1,385,9
754,753,18,385,310,0.6063,1,392,7
755,754,18,392,347,0.5644,1,400,8
756,755,18,400,389,0.5158,0,391,-9
757,756,18,391,297,0.6321,0,380,-11
758,757,18,380,387,0.4899,1,389,9
759,758,18,389,425,0.4484,0,381,-8
760,759,18,381,424,0.4384,0,373,-8
761,760,18,373,282,0.6280,0,362,-11
762,761,18,362,444,0.3841,1,373,11
763,762,18,373,280,0.6307,1,380,7
764,763,17,380,330,0.5715,0,370,-10
765,764,17,370,319,0.5729,1,377,7
766,765,17,377,378,0.4986,0,369,-8
767,766,17,369,298,0.6008,1,376,7
768,767,17,376,418,0.4398,0,369,-7
769,768,17,369,307,0.5883,1,376,7
770,769,17,376,405,0.4584,0,368,-8
771,770,17,368,393,0.4641,1,377,9
772,771,17,377,425,0.4314,1,387,10
773,772,17,387,387,0.5000,1,396,9
774,773,17,396,473,0.3910,0,389,-7
775,774,17,389,415,0.4627,0,381,-8
776,775,17,381,342,0.5559,0,372,-9
777,776,17,372,442,0.4006,1,382,10
778,777,17,382,351,0.5445,0,373,-9
779,778,17,373,416,0.4384,1,383,10
780,779,17,383,286,0.6361,0,372,-11
781,780,17,372,298,0.6049,1,379,7
782,781,17,379,399,0.4712,1,388,9
783,782,17,388,399,0.4842,1,397,9
784,783,17,397,364,0.5473,0,388,-9
785,784,17,388,310,0.6104,1,395,7
786,785,17,395,456,0.4131,0,388,-7
787,786,17,388,418,0.4569,0,380,-8
788,787,17,380,289,0.6280,0,369,-11
789,788,16,369,288,0.6145,1,375,6
790,789,16,375,453,0.3896,1,385,10
791,790,16,385,303,0.6159,1,391,6
792,791,16,391,323,0.5966,0,381,-10
793,792,16,381,359,0.5316,0,372,-9
794,793,16,372,443,0.3992,1,382,10
795,794,16,382,406,0.4655,0,375,-7
796,795,16,375,442,0.4048,0,369,-6
797,796,16,369,298,0.6008,0,359,-10
798,797,16,359,268,0.6280,0,349,-10
799,798,16,349,308,0.5587,0,340,-9
800,799,16,340,356,0.4770,1,348,8
801,800,16,348,266,0.6159,0,338,-10
802,801,10,338,362,0.4655,1,343,5
803,802,10,343,366,0.4669,1,348,5
804,803,10,348,264,0.6186,0,342,-6
805,804,10,342,354,0.4827,1,347,5
806,805,10,347,380,0.4527,0,342,-5
807,806,10,342,379,0.4470,1,348,6
808,807,10,348,262,0.6213,1,352,4
809,808,10,352,292,0.5855,1,356,4
810,809,10,356,427,0.3992,0,352,-4
811,810,10,352,287,0.5925,0,346,-6
812,811,10,346,274,0.6022,1,350,4
813,812,10,350,421,0.3992,1,356,6
814,813,10,356,321,0.5502,1,360,4
815,814,10,360,314,0.5658,0,354,-6
816,815,10,354,271,0.6172,0,348,-6
817,816,10,348,356,0.4885,1,353,5
818,817,10,353,315,0.5545,1,357,4
819,818,10,357,338,0.5273,0,352,-5
820,819,10,352,263,0.6254,1,356,4
821,820,10,356,331,0.5359,0,351,-5
822,821,10,351,283,0.5966,0,345,-6
823,822,10,345,355,0.4856,1,350,5
824,823,10,350,303,0.5672,0,344,-6
825,824,10,344,408,0.4089,0,340,-4
826,825,10,340,312,0.5402,1,345,5
827,826,10,345,257,0.6240,1,349,4
828,827,10,349,318,0.5445,0,344,-5
829,828,10,344,397,0.4243,0,340,-4
830,829,10,340,355,0.4784,0,335,-5
831,830,10,335,258,0.6090,1,339,4
832,831,10,339,306,0.5473,1,344,5
833,832,10,344,386,0.4398,1,350,6
834,833,10,350,372,0.4684,0,345,-5
835,834,10,345,399,0.4229,1,351,6
836,835,10,351,296,0.5785,1,355,4
837,836,10,355,274,0.6145,1,359,4
838,837,10,359,437,0.3896,0,355,-4
839,838,10,355,325,0.5431,0,350,-5
840,839,10,350,290,0.5855,1,354,4
841,840,10,354,300,0.5771,1,358,4
842,841,10,358,308,0.5715,1,362,4
843,842,10,362,432,0.4006,0,358,-4
844,843,10,358,313,0.5644,0,352,-6
845,844,10,352,413,0.4131,0,348,-4
846,845,10,348,328,0.5288,1,353,5
847,846,10,353,272,0.6145,1,357,4
848,847,10,357,402,0.4356,0,353,-4
849,848,10,353,312,0.5587,1,357,4
850,849,10,357,437,0.3869,1,363,6
851,850,10,363,335,0.5402,0,358,-5
852,851,10,358,454,0.3653,1,364,6
853,852,10,364,379,0.4784,0,359,-5
854,853,10,359,398,0.4441,1,365,6
855,854,10,365,271,0.6321,1,369,4
856,855,10,369,451,0.3841,0,365,-4
857,856,10,365,280,0.6199,0,359,-6
858,857,10,359,309,0.5715,0,353,-6
859,858,10,353,284,0.5980,0,347,-6
860,859,10,347,321,0.5373,1,352,5
861,860,10,352,254,0.6374,0,346,-6
862,861,10,346,305,0.5587,0,340,-6
863,862,10,340,384,0.4370,0,336,-4
864,863,10,336,335,0.5014,0,331,-5
865,864,10,331,392,0.4131,1,337,6
866,865,10,337,335,0.5029,1,342,5
867,866,10,342,264,0.6104,1,346,4
868,867,10,346,305,0.5587,0,340,-6
869,868,10,340,428,0.3760,0,336,-4
870,869,10,336,371,0.4498,0,332,-4
871,870,10,332,301,0.5445,1,337,5
872,871,10,337,401,0.4089,0,333,-4
873,872,10,333,265,0.5966,1,337,4
874,873,10,337,401,0.4089,0,333,-4
875,874,10,333,344,0.4842,1,338,5
876,875,10,338,365,0.4612,0,333,-5
877,876,10,333,404,0.3992,1,339,6
878,877,10,339,370,0.4555,1,344,5
879,878,10,344,249,0.6334,1,348,4
880,879,10,348,283,0.5925,1,352,4
881,880,10,352,363,0.4842,1,357,5
882,881,10,357,416,0.4159,1,363,6
883,882,10,363,287,0.6077,0,357,-6
884,883,10,357,309,0.5686,0,351,-6
885,884,10,351,338,0.5187,1,356,5
886,885,10,356,428,0.3978,1,362,6
887,886,10,362,310,0.5743,1,366,4
888,887,10,366,438,0.3978,1,372,6
889,888,10,372,297,0.6063,0,366,-6
890,889,10,366,397,0.4555,1,371,5
891,890,10,371,318,0.5757,1,375,4
892,891,10,375,466,0.3720,1,381,6
893,892,10,381,308,0.6035,1,385,4
894,893,10,385,319,0.5939,0,379,-6
895,894,10,379,364,0.5216,1,384,5
896,895,10,384,315,0.5980,0,378,-6
897,896,10,378,399,0.4698,0,373,-5
898,897,10,373,348,0.5359,0,368,-5
899,898,10,368,364,0.5058,0,363,-5
900,899,10,363,452,0.3746,1,369,6
901,900,10,369,378,0.4871,1,374,5
902,901,10,374,429,0.4215,1,380,6
903,902,10,380,309,0.6008,0,374,-6
904,903,10,374,293,0.6145,1,378,4
905,904,10,378,426,0.4314,0,374,-4
906,905,10,374,375,0.4986,1,379,5
907,906,10,379,354,0.5359,1,384,5
908,907,10,384,469,0.3801,1,390,6
909,908,10,390,375,0.5216,1,395,5
910,909,10,395,321,0.6049,1,399,4
911,910,10,399,428,0.4584,0,394,-5
912,911,10,394,360,0.5488,1,399,5
913,912,10,399,417,0.4741,0,394,-5
914,913,10,394,458,0.4089,0,390,-4
915,914,10,390,306,0.6186,0,384,-6
916,915,10,384,473,0.3746,0,380,-4
917,916,10,380,371,0.5129,0,375,-5
918,917,10,375,276,0.6387,0,369,-6
919,918,10,369,308,0.5869,0,363,-6
920,919,10,363,451,0.3760,1,369,6
921,920,10,369,450,0.3855,0,365,-4
922,921,10,365,271,0.6321,0,359,-6
923,922,10,359,289,0.5994,0,353,-6
924,923,10,353,337,0.5230,1,358,5
925,924,10,358,457,0.3613,0,354,-4
926,925,10,354,405,0.4271,1,360,6
927,926,10,360,395,0.4498,1,366,6
928,927,10,366,426,0.4145,1,372,6
929,928,10,372,337,0.5502,1,376,4
930,929,10,376,473,0.3639,1,382,6
931,930,10,382,477,0.3666,0,378,-4
932,931,10,378,433,0.4215,1,384,6
933,932,10,384,342,0.5602,0,378,-6
934,933,10,378,399,0.4698,0,373,-5
935,934,10,373,462,0.3746,1,379,6
936,935,10,379,339,0.5573,1,383,4
937,936,10,383,390,0.4899,1,388,5
938,937,10,388,439,0.4271,1,394,6
939,938,10,394,407,0.4813,1,399,5
940,939,10,399,490,0.3720,1,405,6
941,940,10,405,332,0.6035,1,409,4
942,941,10,409,476,0.4048,0,405,-4
943,942,10,405,420,0.4784,0,400,-5
944,943,10,400,489,0.3746,1,406,6
945,944,10,406,394,0.5173,0,401,-5
946,945,10,401,489,0.3760,0,397,-4
947,946,10,397,379,0.5259,1,402,5
948,947,10,402,351,0.5729,1,406,4
949,948,10,406,483,0.3910,1,412,6
950,949,10,412,426,0.4799,0,407,-5
951,950,10,407,433,0.4627,0,402,-5
952,951,10,402,467,0.4075,0,398,-4
953,952,10,398,413,0.4784,1,403,5
954,953,10,403,361,0.5602,1,407,4
955,954,10,407,410,0.4957,1,412,5
956,955,10,412,457,0.4356,1,418,6
957,956,10,418,318,0.6401,0,412,-6
958,957,10,412,394,0.5259,1,417,5
959,958,10,417,402,0.5216,0,412,-5
960,959,10,412,495,0.3828,1,418,6
961,960,10,418,458,0.4427,1,424,6
962,961,10,424,486,0.4117,0,420,-4
963,962,10,420,442,0.4684,1,425,5
964,963,10,425,398,0.5388,0,420,-5
965,964,10,420,469,0.4299,0,416,-4
966,965,10,416,486,0.4006,0,412,-4
967,966,10,412,431,0.4727,0,407,-5
968,967,10,407,420,0.4813,0,402,-5
969,968,10,402,422,0.4712,1,407,5
970,969,10,407,358,0.5701,0,401,-6
971,970,10,401,400,0.5014,0,396,-5
972,971,10,396,467,0.3992,0,392,-4
973,972,10,392,320,0.6022,1,396,4
974,973,10,396,479,0.3828,0,392,-4
975,974,10,392,393,0.4986,0,387,-5
976,975,10,387,418,0.4555,0,382,-5
977,976,10,382,466,0.3814,0,378,-4
978,977,10,378,384,0.4914,1,383,5
979,978,10,383,466,0.3828,0,379,-4
980,979,10,379,364,0.5216,1,384,5
981,980,10,384,288,0.6347,0,378,-6
982,981,10,378,403,0.4641,1,383,5
983,982,10,383,284,0.6387,1,387,4
984,983,10,387,404,0.4756,1,392,5
985,984,10,392,295,0.6361,0,386,-6
986,985,10,386,485,0.3613,0,382,-4
987,986,10,382,467,0.3801,0,378,-4
988,987,10,378,422,0.4370,1,384,6
989,988,10,384,484,0.3599,1,390,6
990,989,10,390,291,0.6387,0,384,-6
991,990,10,384,366,0.5259,0,379,-5
992,991,10,379,342,0.5530,0,373,-6
993,992,10,373,275,0.6374,1,377,4
994,993,10,377,475,0.3626,0,373,-4
995,994,10,373,447,0.3951,1,379,6
996,995,10,379,279,0.6401,0,373,-6
997,996,10,373,437,0.4089,0,369,-4
998,997,10,369,444,0.3937,0,365,-4
999,998,10,365,465,0.3599,0,361,-4
1000,999,10,361,367,0.4914,1,366,5
